EmpNo,Captain,FirstOfficer,Deadhead,Base,DutyCostPerHour,ParingCostPerHour
B0001,Y,Y,Y,HOM,640,20
B0002,Y,Y,Y,HOM,640,20
B0003,Y,Y,Y,HOM,640,20
B0004,Y,Y,Y,HOM,640,20
B0005,Y,Y,Y,HOM,640,20
B0006,Y,Y,Y,HOM,640,20
B0007,Y,Y,Y,HOM,640,20
B0008,Y,Y,Y,HOM,640,20
B0009,Y,Y,Y,HOM,640,20
B0010,Y,Y,Y,HOM,640,20
B0011,Y,Y,Y,HOM,640,20
B0012,Y,Y,Y,HOM,640,20
B0013,Y,Y,Y,HOM,640,20
B0014,Y,Y,Y,HOM,640,20
B0015,Y,Y,Y,HOM,640,20
B0016,Y,Y,Y,HOM,640,20
B0017,Y,Y,Y,HOM,640,20
B0018,Y,Y,Y,HOM,640,20
B0019,Y,Y,Y,HOM,640,20
B0020,Y,Y,Y,HOM,640,20
B0021,Y,,Y,HOM,680,20
B0022,Y,,Y,HOM,680,20
B0023,Y,,Y,HOM,680,20
B0024,Y,,Y,HOM,680,20
B0025,Y,,Y,HOM,680,20
B0026,Y,,Y,HOM,680,20
B0027,Y,,Y,HOM,680,20
B0028,Y,,Y,HOM,680,20
B0029,Y,,Y,HOM,680,20
B0030,Y,,Y,HOM,680,20
B0031,Y,,Y,HOM,680,20
B0032,Y,,Y,HOM,680,20
B0033,Y,,Y,HOM,680,20
B0034,Y,,Y,HOM,680,20
B0035,Y,,Y,HOM,680,20
B0036,Y,,Y,HOM,680,20
B0037,Y,,Y,HOM,680,20
B0038,Y,,Y,HOM,680,20
B0039,Y,,Y,HOM,680,20
B0040,Y,,Y,HOM,680,20
B0041,Y,,Y,HOM,680,20
B0042,Y,,Y,HOM,680,20
B0043,Y,,Y,HOM,680,20
B0044,Y,,Y,HOM,680,20
B0045,Y,,Y,HOM,680,20
B0046,Y,,Y,HOM,680,20
B0047,Y,,Y,HOM,680,20
B0048,Y,,Y,HOM,680,20
B0049,,Y,Y,HOM,600,20
B0050,,Y,Y,HOM,600,20
B0051,,Y,Y,HOM,600,20
B0052,,Y,Y,HOM,600,20
B0053,,Y,Y,HOM,600,20
B0054,,Y,Y,HOM,600,20
B0055,,Y,Y,HOM,600,20
B0056,,Y,Y,HOM,600,20
B0057,,Y,Y,HOM,600,20
B0058,,Y,Y,HOM,600,20
B0059,,Y,Y,HOM,600,20
B0060,,Y,Y,HOM,600,20
B0061,,Y,Y,HOM,600,20
B0062,,Y,Y,HOM,600,20
B0063,,Y,Y,HOM,600,20
B0064,,Y,Y,HOM,600,20
B0065,,Y,Y,HOM,600,20
B0066,,Y,Y,HOM,600,20
B0067,,Y,Y,HOM,600,20
B0068,,Y,Y,HOM,600,20
B0069,,Y,Y,HOM,600,20
B0070,,Y,Y,HOM,600,20
B0071,,Y,Y,HOM,600,20
B0072,,Y,Y,HOM,600,20
B0073,Y,Y,Y,NKX,640,20
B0074,Y,Y,Y,NKX,640,20
B0075,Y,Y,Y,NKX,640,20
B0076,Y,Y,Y,NKX,640,20
B0077,Y,Y,Y,NKX,640,20
B0078,Y,Y,Y,NKX,640,20
B0079,Y,Y,Y,NKX,640,20
B0080,Y,Y,Y,NKX,640,20
B0081,Y,Y,Y,NKX,640,20
B0082,Y,Y,Y,NKX,640,20
B0083,Y,Y,Y,NKX,640,20
B0084,Y,Y,Y,NKX,640,20
B0085,Y,Y,Y,NKX,640,20
B0086,Y,Y,Y,NKX,640,20
B0087,Y,Y,Y,NKX,640,20
B0088,Y,Y,Y,NKX,640,20
B0089,Y,Y,Y,NKX,640,20
B0090,Y,Y,Y,NKX,640,20
B0091,Y,Y,Y,NKX,640,20
B0092,Y,Y,Y,NKX,640,20
B0093,Y,Y,Y,NKX,640,20
B0094,Y,Y,Y,NKX,640,20
B0095,Y,Y,Y,NKX,640,20
B0096,Y,Y,Y,NKX,640,20
B0097,Y,Y,Y,NKX,640,20
B0098,Y,Y,Y,NKX,640,20
B0099,Y,Y,Y,NKX,640,20
B0100,Y,Y,Y,NKX,640,20
B0101,Y,Y,Y,NKX,640,20
B0102,Y,Y,Y,NKX,640,20
B0103,Y,Y,Y,NKX,640,20
B0104,Y,Y,Y,NKX,640,20
B0105,Y,Y,Y,NKX,640,20
B0106,Y,Y,Y,NKX,640,20
B0107,Y,Y,Y,NKX,640,20
B0108,Y,Y,Y,NKX,640,20
B0109,Y,Y,Y,NKX,640,20
B0110,Y,Y,Y,NKX,640,20
B0111,Y,Y,Y,NKX,640,20
B0112,Y,Y,Y,NKX,640,20
B0113,Y,Y,Y,NKX,640,20
B0114,Y,Y,Y,NKX,640,20
B0115,Y,Y,Y,NKX,640,20
B0116,Y,Y,Y,NKX,640,20
B0117,Y,Y,Y,NKX,640,20
B0118,Y,Y,Y,NKX,640,20
B0119,Y,Y,Y,NKX,640,20
B0120,Y,Y,Y,NKX,640,20
B0121,Y,Y,Y,NKX,640,20
B0122,Y,Y,Y,NKX,640,20
B0123,Y,Y,Y,NKX,640,20
B0124,Y,Y,Y,NKX,640,20
B0125,Y,Y,Y,NKX,640,20
B0126,Y,Y,Y,NKX,640,20
B0127,Y,Y,Y,NKX,640,20
B0128,Y,Y,Y,NKX,640,20
B0129,Y,Y,Y,NKX,640,20
B0130,Y,Y,Y,NKX,640,20
B0131,Y,Y,Y,NKX,640,20
B0132,Y,Y,Y,NKX,640,20
B0133,Y,Y,Y,NKX,640,20
B0134,Y,Y,Y,NKX,640,20
B0135,Y,Y,Y,NKX,640,20
B0136,Y,Y,Y,NKX,640,20
B0137,Y,Y,Y,NKX,640,20
B0138,Y,Y,Y,NKX,640,20
B0139,Y,Y,Y,NKX,640,20
B0140,Y,Y,Y,NKX,640,20
B0141,Y,Y,Y,NKX,640,20
B0142,Y,Y,Y,NKX,640,20
B0143,Y,Y,Y,NKX,640,20
B0144,Y,Y,Y,NKX,640,20
B0145,Y,Y,Y,NKX,640,20
B0146,Y,Y,Y,NKX,640,20
B0147,Y,Y,Y,NKX,640,20
B0148,Y,Y,Y,NKX,640,20
B0149,Y,Y,Y,NKX,640,20
B0150,Y,Y,Y,NKX,640,20
B0151,Y,Y,Y,NKX,640,20
B0152,Y,Y,Y,NKX,640,20
B0153,Y,Y,Y,NKX,640,20
B0154,Y,Y,Y,NKX,640,20
B0155,Y,Y,Y,NKX,640,20
B0156,Y,Y,Y,NKX,640,20
B0157,Y,Y,Y,NKX,640,20
B0158,Y,Y,Y,NKX,640,20
B0159,Y,Y,Y,NKX,640,20
B0160,Y,Y,Y,NKX,640,20
B0161,Y,Y,Y,NKX,640,20
B0162,Y,Y,Y,NKX,640,20
B0163,Y,Y,Y,NKX,640,20
B0164,Y,Y,Y,NKX,640,20
B0165,Y,Y,Y,NKX,640,20
B0166,Y,Y,Y,NKX,640,20
B0167,Y,Y,Y,NKX,640,20
B0168,Y,Y,Y,NKX,640,20
B0169,Y,Y,Y,NKX,640,20
B0170,Y,Y,Y,NKX,640,20
B0171,Y,Y,Y,NKX,640,20
B0172,Y,Y,Y,NKX,640,20
B0173,Y,Y,Y,NKX,640,20
B0174,Y,Y,Y,NKX,640,20
B0175,Y,Y,Y,NKX,640,20
