FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp,DutyCostPerHour,ParingCostPerHour
FB8559,8/16/2019,0:05,HOM,8/16/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/17/2019,0:05,HOM,8/17/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/20/2019,0:05,HOM,8/20/2019,2:05,SXA,C1F1,640.0,20.0
FB8567,8/16/2019,0:35,XXJ,8/16/2019,2:25,SXA,C1F1,,
FB8567,8/17/2019,0:35,XXJ,8/17/2019,2:25,SXA,C1F1,,
FB8567,8/20/2019,0:35,XXJ,8/20/2019,2:25,SXA,C1F1,,
FB1000,8/16/2019,3:35,SXA,8/16/2019,5:55,NKX,C1F1,,
FB1000,8/17/2019,3:35,SXA,8/17/2019,5:55,NKX,C1F1,,
FB1000,8/18/2019,3:35,SXA,8/18/2019,5:55,NKX,C1F1,,
FB1000,8/20/2019,3:35,SXA,8/20/2019,5:55,NKX,C1F1,,
FB8558,8/16/2019,4:50,SXA,8/16/2019,7:00,NKX,C1F1,,
FB8558,8/17/2019,4:50,SXA,8/17/2019,7:00,NKX,C1F1,,
FB8558,8/20/2019,4:50,SXA,8/20/2019,7:00,NKX,C1F1,,
FB89,8/16/2019,6:10,NKX,8/16/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/17/2019,6:10,NKX,8/17/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/18/2019,6:10,NKX,8/18/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/19/2019,6:10,NKX,8/19/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/20/2019,6:10,NKX,8/20/2019,9:00,HUK,C1F1,640.0,20.0
FB239,8/16/2019,6:25,NKX,8/16/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/17/2019,6:25,NKX,8/17/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/18/2019,6:25,NKX,8/18/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/19/2019,6:25,NKX,8/19/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/20/2019,6:25,NKX,8/20/2019,8:15,FBX,C1F1,640.0,20.0
FB411,8/16/2019,6:25,NKX,8/16/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/16/2019,6:25,NKX,8/16/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/17/2019,6:25,NKX,8/17/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/17/2019,6:25,NKX,8/17/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/18/2019,6:25,NKX,8/18/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/18/2019,6:25,NKX,8/18/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/19/2019,6:25,NKX,8/19/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/19/2019,6:25,NKX,8/19/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/20/2019,6:25,NKX,8/20/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/20/2019,6:25,NKX,8/20/2019,7:30,HOM,C1F1,640.0,20.0
FB8560,8/16/2019,6:35,SXA,8/16/2019,8:30,HOM,C1F1,,
FB8560,8/17/2019,6:35,SXA,8/17/2019,8:30,HOM,C1F1,,
FB8560,8/20/2019,6:35,SXA,8/20/2019,8:30,HOM,C1F1,,
FB293,8/16/2019,6:40,NKX,8/16/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/17/2019,6:40,NKX,8/17/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/18/2019,6:40,NKX,8/18/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/19/2019,6:40,NKX,8/19/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/20/2019,6:40,NKX,8/20/2019,7:55,OOJ,C1F1,640.0,20.0
FB993,8/16/2019,6:40,NKX,8/16/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/17/2019,6:40,NKX,8/17/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/18/2019,6:40,NKX,8/18/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/19/2019,6:40,NKX,8/19/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/20/2019,6:40,NKX,8/20/2019,9:05,SXA,C1F1,640.0,20.0
FB619,8/16/2019,6:45,NKX,8/16/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/17/2019,6:45,NKX,8/17/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/18/2019,6:45,NKX,8/18/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/19/2019,6:45,NKX,8/19/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/20/2019,6:45,NKX,8/20/2019,8:30,XSJ,C1F1,640.0,20.0
